country,count
Andorra,1
Australia,2
Austria,6
Belarus,1
Belgium,9
Brazil,11
Bulgaria,4
Canada,14
Chile,1
China,11
Colombia,3
Croatia,1
Czech Republic,9
Denmark,5
Ecuador,1
Finland,2
France,57
Georgia,1
Germany,63
Greece,5
Hungary,7
India,8
Iran (Islamic Republic of),2
Israel,3
Italy,76
Japan,3
Lithuania,1
Mexico,1
Netherlands,11
New Zealand,2
Norway,5
Poland,10
Portugal,7
Republic of Korea,7
Romania,4
Russian Federation,20
Slovakia,5
Slovenia,3
South Africa,5
Spain,19
Sweden,7
Switzerland,22
United Kingdom,53
Turkey,3
Ukraine,3
United States of America,112
Venezuela (Bolivarian Republic of),1